,stock_id,win_rate,total_profit
241,00877,0.0,0.0
242,00878,100.0,50000.000000000044
243,00879B,0.0,0.0
244,00880B,0.0,0.0
245,00881,0.0,0.0
246,00882,0.0,0.0
247,00883B,0.0,0.0
248,00884B,0.0,0.0
249,00885,0.0,0.0
250,00886,0.0,0.0
251,00887,0.0,0.0
252,00888,0.0,0.0
253,00889B,0.0,0.0
254,00890B,0.0,0.0
255,00891,0.0,0.0
256,00892,0.0,0.0
257,00893,0.0,0.0
258,00894,0.0,0.0
259,00895,0.0,0.0
260,00896,0.0,0.0
261,00897,0.0,0.0
262,00898,0.0,0.0
263,00899,0.0,0.0
264,00900,0.0,0.0
265,00901,0.0,0.0
266,00902,0.0,0.0
267,00903,0.0,0.0
268,00904,0.0,0.0
269,00905,0.0,0.0
270,00906,0.0,0.0
271,00907,0.0,0.0
272,00908,0.0,0.0
273,00909,0.0,0.0
274,00910,0.0,-30000.00000000008
275,00911,0.0,0.0
276,00912,0.0,0.0
277,00913,0.0,0.0
278,00915,0.0,0.0
279,00916,0.0,0.0
280,00917,0.0,0.0
281,00918,0.0,0.0
282,00919,0.0,0.0
283,00920,0.0,0.0
284,00921,0.0,0.0
285,00922,0.0,0.0
286,00923,0.0,0.0
287,00924,0.0,0.0
288,00925,0.0,0.0
289,00926,0.0,0.0
290,00927,0.0,0.0
291,00928,0.0,0.0
292,00929,0.0,0.0
293,00930,0.0,0.0
294,00931B,0.0,0.0
295,00932,0.0,0.0
296,00933B,0.0,0.0
297,00934,0.0,0.0
298,00935,0.0,0.0
299,00936,0.0,0.0
300,00937B,0.0,0.0
301,00939,0.0,0.0
302,00941,0.0,0.0
303,01001T,40.0,10000.000000000138
304,01002T,0.0,-90000.00000000009
305,01003T,100.0,50000.00000000013
306,01004T,100.0,100000.0
307,01005T,100.0,50000.00000000012
308,01007T,0.0,0.0
309,01008T,0.0,0.0
310,01009T,0.0,0.0
311,020000,0.0,0.0
312,020001,0.0,0.0
313,020002,0.0,0.0
314,020003,0.0,0.0
315,020004,0.0,0.0
316,020005,0.0,0.0
317,020006,0.0,0.0
318,020007,0.0,0.0
319,020008,0.0,0.0
320,020009,0.0,0.0
321,020010,0.0,-29999.99999999998
322,020011,0.0,0.0
323,020012,0.0,0.0
324,020013,0.0,0.0
325,020014,0.0,0.0
326,020015,0.0,0.0
327,020016,0.0,0.0
328,020017,0.0,0.0
329,020018,0.0,0.0
330,020019,0.0,0.0
331,02001B,0.0,0.0
332,02001L,50.0,20000.000000000004
333,02001R,0.0,0.0
334,02001S,0.0,0.0
335,020020,0.0,0.0
336,020021,0.0,0.0
337,020022,0.0,0.0
338,020023,0.0,0.0
339,020024,0.0,0.0
340,020025,0.0,0.0
341,020026,0.0,0.0
342,020027,0.0,0.0
343,020028,0.0,0.0
344,020029,0.0,0.0
345,02002L,100.0,50000.00000000012
346,020030,0.0,0.0
347,020031,0.0,0.0
348,020032,0.0,0.0
349,020033,0.0,0.0
350,020034,0.0,0.0
351,020035,0.0,0.0
352,020036,0.0,0.0
353,020037,0.0,0.0
354,020038,0.0,0.0
355,020039,0.0,0.0
356,02003L,0.0,0.0
357,020040,0.0,0.0
358,020041,0.0,0.0
359,1101,66.66666666666666,70000.00000000015
360,1101B,0.0,0.0
361,1102,25.0,-40000.000000000044
362,1103,50.0,19999.999999999938
363,1104,50.0,100000.00000000013
364,1107,62.5,160000.0000000001
365,1108,16.666666666666664,-300000.00000000023
366,1109,72.72727272727273,
367,1110,16.666666666666664,-300000.0000000002
368,1201,28.57142857142857,-100000.00000000006
369,1203,28.57142857142857,-100000.00000000003
370,1210,100.0,100000.00000000006
371,1213,38.46153846153847,
372,1215,38.46153846153847,10000.000000000018
373,1216,0.0,-30000.000000000073
374,1217,50.0,
375,1218,30.0,-59999.99999999995
376,1219,33.33333333333333,-39999.99999999989
377,1220,25.0,-160000.0000000001
378,1225,41.66666666666667,
379,1227,33.33333333333333,-19999.9999999999
380,1229,50.0,60000.00000000005
381,1231,66.66666666666666,
382,1232,22.22222222222222,-110000.00000000022
383,1233,37.5,1.3096723705530167e-10
384,1234,71.42857142857143,190000.0000000003
385,1235,33.33333333333333,
386,1236,12.5,
387,1240,50.0,40000.000000000044
388,1256,33.33333333333333,-30000.0
389,1258,16.666666666666664,
390,1259,33.33333333333333,-9999.99999999992
391,1259,33.33333333333333,-9999.99999999992
392,1262,33.33333333333333,-20000.000000000055
393,1264,0.0,-29999.999999999975
394,1268,0.0,0.0
395,1268,0.0,0.0
396,1301,0.0,0.0
397,1303,33.33333333333333,-9999.999999999949
398,1304,25.0,-40000.000000000015
399,1305,53.84615384615385,170000.00000000032
400,1307,43.75,80000.00000000001
401,1308,14.285714285714285,
402,1309,41.66666666666667,40000.000000000015
403,1310,28.57142857142857,-49999.99999999988
404,1311,0.0,0.0
405,1312,25.0,
406,1312A,21.428571428571427,-180000.00000000023
407,1313,42.857142857142854,30000.000000000255
408,1314,70.0,260000.00000000035
409,1315,66.66666666666666,140000.00000000023
410,1316,41.37931034482759,
411,1319,50.0,80000.0
412,1321,16.666666666666664,
413,1323,21.052631578947366,
414,1324,47.61904761904761,170000.00000000006
415,1325,30.0,
416,1326,100.0,50000.00000000005
417,1336,11.11111111111111,-190000.0000000002
418,1337,0.0,-30000.000000000036
419,1338,0.0,-30000.000000000113
420,1339,50.0,20000.00000000001
421,1340,0.0,-60000.00000000015
422,1341,0.0,0.0
423,1342,33.33333333333333,-10000.000000000084
424,1402,100.0,100000.00000000003
425,1409,50.0,19999.99999999994
426,1410,34.78260869565217,-50000.0000000001
427,1413,47.22222222222222,
428,1414,25.0,
429,1416,41.66666666666667,39999.99999999988
430,1417,50.0,
431,1418,51.85185185185185,
432,1419,45.0,
433,1423,21.428571428571427,-180000.00000000026
434,1432,27.500000000000004,-320000.0000000004
435,1432,27.500000000000004,-320000.0000000004
436,1434,50.0,20000.00000000003
437,1435,32.432432432432435,
438,1436,41.17647058823529,
439,1437,31.25,
440,1438,35.8974358974359,
441,1439,14.285714285714285,
442,1439,14.285714285714285,
443,1440,60.0,180000.00000000012
444,1441,32.35294117647059,
445,1442,31.25,-79999.99999999975
446,1443,22.727272727272727,
447,1443,22.727272727272727,
448,1444,71.42857142857143,190000.00000000017
449,1445,8.333333333333332,
450,1446,26.666666666666668,-130000.0
451,1447,0.0,-90000.00000000015
452,1449,50.0,
453,1451,50.0,60000.0
454,1452,25.0,
455,1453,20.0,
456,1453,20.0,
457,1454,36.36363636363637,-10000.000000000175
458,1455,42.857142857142854,30000.000000000087
459,1456,31.70731707317073,
460,1456,31.70731707317073,
